,Instance,n,m,numEdges,Alpha1,Alpha2,Alpha3,Threads,Enumerate,NumEQ,PoS,PoA,EQIne,RationalIne,Iterations,Time,TimeFirstEQ,BestPNE,WorstPNE,OSC,BestBound
"(50, 99)",G_n_50-grid.adj,3,50,99,0.33,0.33,0.34,8,0,1,1.061,1.061,5,0,3,0.037,0.036,980,980,924,980
"(50, 99)",G_n_50-grid.adj,3,50,99,0.6,0.2,0.2,8,0,1,1.245,1.245,8,0,3,0.040,0.039,1150,1150,924,1150
"(50, 99)",G_n_50-grid.adj,3,50,99,0.45,0.45,0.1,8,0,1,1.061,1.061,5,0,3,0.034,0.034,980,980,924,980
"(100, 206)",G_n_100-grid.adj,3,100,206,0.33,0.33,0.34,8,0,1,1.000,1.000,3,0,2,0.047,0.041,1320,1320,1320,1320
"(100, 206)",G_n_100-grid.adj,3,100,206,0.6,0.2,0.2,8,0,1,1.000,1.000,2,0,2,0.046,0.040,1320,1320,1320,1320
"(100, 206)",G_n_100-grid.adj,3,100,206,0.45,0.45,0.1,8,0,1,1.000,1.000,2,0,2,0.047,0.040,1320,1320,1320,1320
"(150, 308)",G_n_150-grid.adj,3,150,308,0.33,0.33,0.34,8,0,1,1.015,1.015,8,0,4,0.996,0.222,2049,2049,2019,2042
"(150, 308)",G_n_150-grid.adj,3,150,308,0.6,0.2,0.2,8,0,1,1.015,1.015,5,0,4,0.354,0.353,2049,2049,2019,2049
"(150, 308)",G_n_150-grid.adj,3,150,308,0.45,0.45,0.1,8,0,1,1.015,1.015,5,0,3,0.565,0.190,2049,2049,2019,2041
"(200, 416)",G_n_200-grid.adj,3,200,416,0.33,0.33,0.34,8,0,1,1.000,1.000,1,0,2,0.109,0.096,2336,2336,2336,2336
"(200, 416)",G_n_200-grid.adj,3,200,416,0.6,0.2,0.2,8,0,1,1.007,1.007,12,0,5,2.828,1.696,2352,2352,2336,2346
"(200, 416)",G_n_200-grid.adj,3,200,416,0.45,0.45,0.1,8,0,4,1.187,1.007,22,0,10,6.908,1.529,2352,2772,2336,2349
"(250, 517)",G_n_250-grid.adj,3,250,517,0.33,0.33,0.34,8,0,4,1.027,1.022,137,0,37,144.392,33.653,2730,2745,2672,2729
"(250, 517)",G_n_250-grid.adj,3,250,517,0.6,0.2,0.2,8,0,2,1.027,1.022,47,0,17,43.991,13.430,2730,2743,2672,2729
"(250, 517)",G_n_250-grid.adj,3,250,517,0.45,0.45,0.1,8,0,1,1.012,1.012,10,0,5,2.111,1.122,2703,2703,2672,2693
"(300, 626)",G_n_300-grid.adj,3,300,626,0.33,0.33,0.34,8,0,2,1.060,1.006,36,0,10,14.877,2.068,3587,3781,3567,3587
"(300, 626)",G_n_300-grid.adj,3,300,626,0.6,0.2,0.2,8,0,2,1.053,1.006,26,0,11,21.300,5.701,3587,3757,3567,3585
"(300, 626)",G_n_300-grid.adj,3,300,626,0.45,0.45,0.1,8,0,1,1.000,1.000,1,0,2,0.161,0.140,3567,3567,3567,3567
"(350, 730)",G_n_350-grid.adj,3,350,730,0.33,0.33,0.34,8,0,2,1.003,1.002,15,0,5,9.664,3.100,3678,3681,3669,3677
"(350, 730)",G_n_350-grid.adj,3,350,730,0.6,0.2,0.2,8,0,3,1.014,1.005,41,0,11,31.889,18.997,3687,3721,3669,3687
"(350, 730)",G_n_350-grid.adj,3,350,730,0.45,0.45,0.1,8,0,1,1.000,1.000,1,0,2,0.197,0.173,3669,3669,3669,3669
"(400, 822)",G_n_400-grid.adj,3,400,822,0.33,0.33,0.34,8,0,3,1.207,1.007,100,0,29,163.047,0.228,4348,5213,4319,4347
"(400, 822)",G_n_400-grid.adj,3,400,822,0.6,0.2,0.2,8,0,1,1.016,1.016,543,0,116,1799.900,584.854,4387,4387,4319,4373
"(400, 822)",G_n_400-grid.adj,3,400,822,0.45,0.45,0.1,8,0,2,1.007,1.007,103,0,26,121.910,100.997,4348,4351,4319,4346
"(450, 934)",G_n_450-grid.adj,3,450,934,0.33,0.33,0.34,8,0,2,1.159,1.000,0,0,2,0.304,0.250,4827,5594,4827,4827
"(450, 934)",G_n_450-grid.adj,3,450,934,0.6,0.2,0.2,8,0,3,1.021,1.020,575,0,119,1800.060,7.284,4925,4929,4827,4866
"(450, 934)",G_n_450-grid.adj,3,450,934,0.45,0.45,0.1,8,0,4,1.159,1.022,609,0,115,1799.570,0.281,4934,5594,4827,4864
"(500, 1060)",G_n_500-grid.adj,3,500,1060,0.33,0.33,0.34,8,0,2,1.004,1.004,66,0,29,198.440,5.191,5535,5536,5512,5534
"(500, 1060)",G_n_500-grid.adj,3,500,1060,0.6,0.2,0.2,8,0,2,1.004,1.004,20,0,8,20.951,11.231,5535,5536,5512,5535
"(500, 1060)",G_n_500-grid.adj,3,500,1060,0.45,0.45,0.1,8,0,2,1.005,1.004,21,0,12,41.808,5.321,5535,5537,5512,5534
