Instance,n,m,Threads,Enumerate,NumEQ,PoS,PoA,EQIne,Iterations,Time,TimeFirstEQ,BestPNE,WorstPNE,OSC,BestBound,BestShift,WorstShift,BestBShift,
2-1-A-H,2,1,8,1,3,21280.260,21281.000,110,24,0.889,0.057,-74.000,0.0,-2128000.0,-74.000,2128026,2128100.0,100.0,1
2-1-B-H,2,1,8,1,2,85000.915,85001.000,102,16,0.581,0.158,-8.500,0.0,-8500000.0,-192.500,8500091.5,8500100.0,100.0,1
2-1-A-L,2,1,8,1,5,43760.260,43761.000,188,30,2.171,0.175,-74.000,0.0,-4376000.0,-151.500,4376026,4376100.0,100.0,1
2-1-B-L,2,1,8,1,2,64776.425,64776.695,136,23,0.743,0.100,-27.500,-0.5,-6477570.0,-18.000,6477642.5,6477669.5,100.0,1
2-2-A-H,2,2,8,1,7,11.125,15.380,50,12,1.769,0.148,-425.500,0.0,-1438.0,-49.500,1112.5,1538.0,100.0,1
2-2-B-H,2,2,8,1,8,18.875,28.115,166,23,11.707,4.969,-924.500,-0.5,-2712.0,-75.000,1887.5,2811.5,100.0,1
2-2-A-L,2,2,8,1,1,2.240,2.240,16,3,0.327,0.247,0.000,0.0,-124.0,-98.000,224,224.0,100.0,1
2-2-B-L,2,2,8,1,7,13.705,86.600,112,19,6.500,0.205,-7289.500,0.0,-8560.0,-602.000,1370.5,8660.0,100.0,1
2-3-A-H,2,3,8,1,4,9.350,12.180,20,6,0.458,0.140,-283.000,0.0,-1118.0,-113.500,935,1218.0,100.0,1
2-3-B-H,2,3,8,1,3,32.125,32.380,54,8,0.989,0.475,-25.500,0.0,-3138.0,-25.500,3212.5,3238.0,100.0,1
2-3-A-L,2,3,8,1,1,3.700,3.700,8,3,0.179,0.137,0.000,0.0,-270.0,-86.000,370,370.0,100.0,1
2-3-B-L,2,3,8,1,1,8.505,8.505,14,3,0.250,0.188,0.000,0.0,-750.5,-210.500,850.5,850.5,100.0,1
3-1-A-H,3,1,8,1,6,714.155,761.915,228,25,5.137,0.964,-4776.000,0.0,-76091.5,-1770.000,71415.5,76191.5,100.0,1
3-1-B-H,3,1,8,1,8,2338.380,2347.950,246,31,4.465,0.647,-957.000,0.0,-234695.0,-173.500,233838,234795.0,100.0,1
3-1-A-L,3,1,8,1,3,933.535,939.720,159,18,3.220,1.273,-618.500,0.0,-93872.0,-2416.000,93353.5,93972.0,100.0,1
3-1-B-L,3,1,8,1,1,716.950,716.950,105,12,1.204,0.392,0.000,0.0,-71595.0,-55.000,71695,71695.0,100.0,1
3-2-A-H,3,2,8,1,1,20.625,20.625,33,5,0.760,0.395,0.000,0.0,-1962.5,-460.000,2062.5,2062.5,100.0,1
3-2-B-H,3,2,8,1,1,11.800,11.800,15,3,0.078,0.069,0.000,0.0,-1080.0,-221.000,1180,1180.0,100.0,1
3-2-A-L,3,2,8,1,8,15.745,31.325,84,11,3.390,0.629,-1558.000,0.0,-3032.5,-278.000,1574.5,3132.5,100.0,1
3-2-B-L,3,2,8,1,4,20.190,21.440,51,8,1.269,0.447,-125.000,0.0,-2044.0,-125.000,2019,2144.0,100.0,1
4-1-A-H,4,1,8,1,4,4.035,6.525,76,7,2.140,1.077,-249.000,0.0,-552.5,-39.500,403.5,652.5,100.0,1
4-1-B-H,4,1,8,1,13,26.125,62.155,152,16,4.654,1.689,-3603.000,0.0,-6115.5,-224.500,2612.5,6215.5,100.0,1
4-1-A-L,4,1,8,1,13,4.420,19.040,116,10,5.927,0.869,-1462.000,0.0,-1804.0,-52.000,442,1904.0,100.0,1
4-1-B-L,4,1,8,1,11,42.400,59.175,132,12,2.863,0.238,-1677.500,0.0,-5817.5,-321.500,4240,5917.5,100.0,1
6-1-A-H,6,1,8,1,3,15.010,15.375,66,5,0.595,0.425,-36.500,0.0,-1437.5,-36.500,1501,1537.5,100.0,1
6-1-B-H,6,1,8,1,2,17.980,18.150,54,6,0.457,0.302,-17.000,0.0,-1715.0,-17.000,1798,1815.0,100.0,1
6-1-A-L,6,1,8,1,3,24.550,28.950,60,5,0.711,0.192,-440.000,0.0,-2795.0,-440.000,2455,2895.0,100.0,1
6-1-B-L,6,1,8,1,6,102.465,106.100,138,8,2.059,0.602,-363.500,0.0,-10510.0,-106.000,10246.5,10610.0,100.0,1
