,Instance,n,m,Threads,Enumerate,NumEQ,PoS,PoA,EQIne,Iterations,Time,TimeFirstEQ,BestPNE,WorstPNE,OSC,BestBound
C,C22_3,2,2,8,1,2,1.0815,1.1238,14,4,0.3692,0.2835,-22.7030,-21.8475,-24.5524,-22.7030
C,C22_2,2,2,8,1,1,1.0000,1.0000,2,2,0.0949,0.0811,-0.3146,-0.3146,-0.3146,-0.3146
C,C22_1,2,2,8,1,2,1.4233,2.1559,24,6,0.6366,0.1852,-13.5053,-8.9158,-19.2216,0.0196
C,C22_4,2,2,8,1,0,-,-,16,3,0.3097,-,-,-,-15.1462,-6.8359
C,C23_1,2,3,8,1,2,1.0353,1.6333,28,5,0.7040,0.2652,-10.7928,-6.8413,-11.1737,0.0000
C,C23_3,2,3,8,1,2,1.4506,3.0534,24,7,1.0306,0.5635,-22.3566,-10.6215,-32.4315,-10.6215
C,C23_2,2,3,8,1,0,-,-,26,6,1.0065,-,-,-,-22.3275,-0.3407
C,C23_6,2,3,8,1,1,23.2815,23.2815,16,4,0.7469,0.6326,-0.3396,-0.3396,-7.9063,-0.3572
C,C23_7,2,3,8,1,1,1.0101,1.0101,6,3,0.4038,0.2817,-4.5242,-4.5242,-4.5698,-4.5242
C,C23_5,2,3,8,1,0,-,-,20,6,1.0198,-,-,-,-8.2644,-0.2266
C,C23_4,2,3,8,1,0,-,-,26,6,0.9098,-,-,-,-44.4346,-4.6428
C,C23_8,2,3,8,1,2,1.0153,1.5113,68,13,3.2209,0.3646,-74.4543,-50.0193,-75.5936,-3.5526
C,C24_4,2,4,8,1,0,-,-,32,5,4.6024,-,-,-,-46.2197,-1.3690
C,C24_3,2,4,8,1,0,-,-,48,7,4.2759,-,-,-,-49.3061,-2.2944
C,C24_2,2,4,8,1,0,-,-,40,5,2.8302,-,-,-,-50.0571,-1.5728
C,C24_1,2,4,8,1,1,1.3206,1.3206,20,3,1.8845,1.1885,-6.4656,-6.4656,-8.5384,-6.4825
C,C25_4,2,5,8,1,1,1.4166,1.4166,34,7,34.4549,4.6820,-50.3544,-50.3544,-71.3315,-5.5704
C,C25_1,2,5,8,1,3,1.2068,11.3913,64,10,32.8601,3.6125,-22.4829,-2.3818,-27.1321,-2.3818
C,C25_3,2,5,8,1,1,2.0289,2.0289,60,10,26.9686,4.6411,-45.6431,-45.6431,-92.6057,-8.0414
C,C25_2,2,5,8,1,1,4.1130,4.1130,66,12,49.2170,17.9271,-10.2162,-10.2162,-42.0192,-2.1366
C,C32_1,3,2,8,1,2,3.1976,6.0787,30,4,0.7915,0.6078,-21.6314,-11.3788,-69.1684,-21.6314
C,C32_2,3,2,8,1,1,1.1101,1.1101,15,5,1.1502,0.4799,-28.0541,-28.0541,-31.1421,-9.9981
C,C32_3,3,2,8,1,3,1.1778,-,63,9,2.2256,0.8736,-45.5016,0.0000,-53.5937,-14.9792
C,C32_4,3,2,8,1,0,-,-,60,4,0.6875,-,-,-,-30.6557,-8.8992
C,C33_2,3,3,8,1,1,8.3676,8.3676,117,12,23.1855,15.4598,-9.2113,-9.2113,-77.0768,-3.7804
C,C33_3,3,3,8,1,1,1.7099,1.7099,102,10,25.2901,1.6631,-57.6349,-57.6349,-98.5491,-1.3043
C,C33_1,3,3,8,1,1,1.2914,1.2914,129,17,55.9786,4.1433,-138.1190,-138.1190,-178.3720,-6.0334
C,C33_4,3,3,8,1,0,-,-,87,9,38.0066,-,-,-,-118.7970,-6.0558
NC,NC22_1,2,2,8,1,2,2.2947,2.2947,18,4,0.4126,0.1822,-8.7456,-8.7456,-20.0687,-8.7456
NC,NC22_2,2,2,8,1,1,1.9081,1.9081,14,4,0.4483,0.3664,-12.2614,-12.2614,-23.3957,-12.2614
NC,NC22_3,2,2,8,1,1,2.3939,2.3939,16,5,0.4243,0.3463,-22.1224,-22.1224,-52.9584,-22.1224
NC,NC22_4,2,2,8,1,0,-,-,16,4,0.4330,-,-,-,-34.0944,-22.9080
NC,NC23_8,2,3,8,1,0,-,-,18,5,0.8855,-,-,-,-57.4117,-31.8276
NC,NC23_2,2,3,8,1,1,1.4346,1.4346,10,4,1.0951,0.2406,-29.1437,-29.1437,-41.8083,-15.2740
NC,NC23_3,2,3,8,1,0,-,-,20,4,0.7570,-,-,-,-79.2272,-28.3022
NC,NC23_1,2,3,8,1,1,1.6194,1.6194,36,8,1.5463,0.6476,-61.1489,-61.1489,-99.0215,-2.1164
NC,NC23_4,2,3,8,1,3,1.1508,1.9143,32,9,1.4491,0.3539,-74.7629,-44.9448,-86.0367,-35.2390
NC,NC23_5,2,3,8,1,2,1.0962,1.7415,10,4,0.9394,0.3543,-86.4907,-54.4442,-94.8133,-54.4442
NC,NC23_7,2,3,8,1,0,-,-,24,4,1.0328,-,-,-,-46.1839,-14.7437
NC,NC23_6,2,3,8,1,0,-,-,12,3,0.8541,-,-,-,-39.4816,-29.1236
NC,NC24_4,2,4,8,1,0,-,-,34,5,2.0809,-,-,-,-71.6710,-62.7970
NC,NC24_1,2,4,8,1,1,1.0190,1.0190,16,4,1.4601,0.8236,-128.9180,-128.9180,-131.3660,-98.6356
NC,NC24_2,2,4,8,1,0,-,-,10,3,1.0317,-,-,-,-59.2505,-50.3392
NC,NC24_3,2,4,8,1,0,-,-,18,4,1.4827,-,-,-,-81.1047,-62.3756
NC,NC25_4,2,5,8,1,1,1.4370,1.4370,14,6,3.9086,2.9218,-116.9060,-116.9060,-167.9990,-116.9060
NC,NC25_2,2,5,8,1,2,1.0487,1.1744,30,8,7.1719,0.9324,-183.7380,-164.0840,-192.6940,-72.1818
NC,NC25_3,2,5,8,1,2,1.4358,1.9921,32,8,25.6082,3.2763,-121.5220,-87.5895,-174.4870,-87.5895
NC,NC25_1,2,5,8,1,0,-,-,38,6,19.4117,-,-,-,-163.5600,-62.2675
NC,NC32_3,3,2,8,1,2,1.0000,1.4850,24,5,1.2589,0.4827,-101.4570,-68.3218,-101.4570,2.6985
NC,NC32_2,3,2,8,1,2,1.0652,1.4657,15,4,0.5213,0.2782,-43.2125,-31.4043,-46.0281,-31.4043
NC,NC32_1,3,2,8,1,0,-,-,36,4,0.7526,-,-,-,-66.5208,-21.4082
NC,NC32_4,3,2,8,1,4,1.0145,1.8493,45,9,1.5802,0.3484,-77.9484,-42.7617,-79.0771,-20.4243
NC,NC33_1,3,3,8,1,2,1.0042,1.0451,33,6,6.7043,1.3057,-184.7260,-177.4950,-185.4930,-99.5192
NC,NC33_3,3,3,8,1,0,-,-,42,7,4.3455,-,-,-,-104.1130,-21.0555
NC,NC33_2,3,3,8,1,1,1.3586,1.3586,54,6,6.8289,3.3613,-90.6533,-90.6533,-123.1600,-71.4323
NC,NC33_4,3,3,8,1,1,1.9431,1.9431,57,8,6.5654,2.6089,-120.5760,-120.5760,-234.2880,-41.7204
