"(n, m)",N,M,T,EQIne,#EQs,Time,1st,PoS,PoA,TL
"(2, 2, C)",2,2,C,14.00,1.67,0.35,0.18,1.17,1.43,0/4
"(2, 3, C)",2,3,C,26.75,1.60,1.13,0.42,5.56,6.10,0/8
"(2, 4, C)",2,4,C,35.00,1.00,3.40,1.19,1.32,1.32,0/4
"(2, 5, C)",2,5,C,56.00,1.50,35.88,7.72,2.19,4.74,0/4
"(3, 2, C)",3,2,C,42.00,2.00,1.21,0.65,1.83,2.40,0/4
"(3, 3, C)",3,3,C,108.75,1.00,35.62,7.09,3.79,3.79,0/4
"(2, 2, NC)",2,2,NC,16.00,1.33,0.43,0.30,2.20,2.20,0/4
"(2, 3, NC)",2,3,NC,20.25,1.75,1.07,0.40,1.33,1.68,0/8
"(2, 4, NC)",2,4,NC,19.50,1.00,1.51,0.82,1.02,1.02,0/4
"(2, 5, NC)",2,5,NC,28.50,1.67,14.03,2.38,1.31,1.53,0/4
"(3, 2, NC)",3,2,NC,30.00,2.67,1.03,0.37,1.03,1.60,0/4
"(3, 3, NC)",3,3,NC,46.50,1.33,6.11,2.43,1.44,1.45,0/4
