Name,Ins,T,Instance,n,m,Threads,Enumerate,NumEQ,PoS,PoA,EQIne,RationalIne,RationalDomi-ceIne,StrictDomi-ceIne,Iterations,Time,TimeFirstEq,BestPNE,WorstPNE,OSC,BestBound
"(2, 25, A, 2)",2,A,2-25-2-pot.txt,2,25,8,0,1,1.106,1.106,12,0,8,130,3,0.036,0.035,1884,1884,2084,1884
"(2, 25, A, 5)",5,A,2-25-5-pot.txt,2,25,8,0,2,1.025,1.035,20,0,0,145,3,0.095,0.093,3086,3056,3163,3086
"(2, 25, A, 8)",8,A,2-25-8-pot.txt,2,25,8,0,1,1.000,1.000,12,0,1,56,2,0.035,0.032,4883,4883,4883,4883
"(2, 25, B, 2)",2,B,2-25-2-cij.txt,2,25,8,0,2,1.021,1.028,14,0,0,122,3,0.067,0.065,1609,1599,1643,1609
"(2, 25, B, 5)",5,B,2-25-5-cij.txt,2,25,8,0,1,1.025,1.025,28,0,4,99,4,0.250,0.182,3456,3456,3542,3459
"(2, 25, B, 8)",8,B,2-25-8-cij.txt,2,25,8,0,1,-,-,10,0,7,114,2,0.038,0.035,4624,4624,4624,4624
"(2, 25, C, 2)",2,C,2-25-2-cij-n.txt,2,25,8,0,0,-,-,16,7,5,131,4,0.153,-,-,-,1480,1329
"(2, 25, C, 5)",5,C,2-25-5-cij-n.txt,2,25,8,0,0,-,-,62,12,17,99,11,0.967,-,-,-,2083,1863
"(2, 25, C, 8)",8,C,2-25-8-cij-n.txt,2,25,8,0,1,1.064,1.064,10,10,1,156,4,0.037,0.036,2739,2739,2914,2739
"(2, 50, A, 2)",2,A,2-50-2-pot.txt,2,50,8,0,3,1.024,1.047,24,0,3,322,4,0.213,0.208,3824,3738,3914,3824
"(2, 50, A, 5)",5,A,2-50-5-pot.txt,2,50,8,0,1,1.035,1.035,16,0,2,443,3,0.214,0.212,6404,6404,6626,6404
"(2, 50, A, 8)",8,A,2-50-8-pot.txt,2,50,8,0,1,1.016,1.016,20,0,3,623,4,0.205,0.204,6703,6703,6809,6703
"(2, 50, B, 2)",2,B,2-50-2-cij.txt,2,50,8,0,1,1.004,1.004,10,0,0,498,2,0.043,0.040,3930,3930,3946,3930
"(2, 50, B, 5)",5,B,2-50-5-cij.txt,2,50,8,0,1,1.004,1.004,42,0,34,394,5,0.853,0.620,6931,6931,6962,6936
"(2, 50, B, 8)",8,B,2-50-8-cij.txt,2,50,8,0,2,1.008,1.013,28,0,25,457,6,0.620,0.501,9294,9256,9372,9294
"(2, 50, C, 2)",2,C,2-50-2-cij-n.txt,2,50,8,0,1,1.018,1.018,8,25,0,580,3,0.087,0.086,3173,3173,3230,3173
"(2, 50, C, 5)",5,C,2-50-5-cij-n.txt,2,50,8,0,0,-,-,112,25,22,599,17,17.190,-,-,-,5654,4923
"(2, 50, C, 8)",8,C,2-50-8-cij-n.txt,2,50,8,0,1,1.134,1.134,98,31,12,562,18,1.749,1.747,5358,5358,6074,5358
"(2, 75, A, 2)",2,A,2-75-2-pot.txt,2,75,8,0,2,1.008,1.019,36,0,19,762,4,0.407,0.401,5784,5724,5831,5784
"(2, 75, A, 5)",5,A,2-75-5-pot.txt,2,75,8,0,1,1.004,1.004,40,0,49,175,4,1.025,0.572,12701,12701,12757,12702
"(2, 75, A, 8)",8,A,2-75-8-pot.txt,2,75,8,0,2,1.001,1.002,38,0,25,177,3,0.359,0.342,16319,16298,16337,16319
"(2, 75, B, 2)",2,B,2-75-2-cij.txt,2,75,8,0,2,1.033,1.037,122,0,41,824,12,12.483,9.045,5690,5670,5880,5694
"(2, 75, B, 5)",5,B,2-75-5-cij.txt,2,75,8,0,1,1.015,1.015,72,0,35,986,8,5.865,1.420,10293,10293,10449,10297
"(2, 75, B, 8)",8,B,2-75-8-cij.txt,2,75,8,0,3,1.010,1.015,108,0,26,729,12,6.691,6.664,13769,13703,13910,13769
"(2, 75, C, 2)",2,C,2-75-2-cij-n.txt,2,75,8,0,1,1.061,1.061,94,43,57,1291,9,3.072,3.064,4356,4356,4623,4356
"(2, 75, C, 5)",5,C,2-75-5-cij-n.txt,2,75,8,0,0,-,-,136,35,87,1155,18,134.899,-,-,-,7908,6934
"(2, 75, C, 8)",8,C,2-75-8-cij-n.txt,2,75,8,0,1,1.089,1.089,108,37,57,1203,18,5.289,4.865,8455,8455,9207,8467
"(2, 100, A, 2)",2,A,100-2-pot.txt,2,100,8,0,1,1.007,1.007,38,0,29,607,5,1.409,1.153,8302,8302,8357,8313
"(2, 100, A, 5)",5,A,100-5-pot.txt,2,100,8,0,1,1.002,1.002,20,0,4,83,2,0.355,0.188,18271,18271,18301,18274
"(2, 100, A, 8)",8,A,100-8-pot.txt,2,100,8,0,1,1.011,1.011,18,0,11,2011,3,0.521,0.398,18516,18516,18723,18519
"(2, 100, B, 2)",2,B,100-2-cij.txt,2,100,8,0,1,1.018,1.018,78,0,11,1859,8,4.294,4.281,8156,8156,8303,8156
